Order ID,Bill Number,Date Time,Type,Customer Name,Customer Phone,Table,Payment Method,Subtotal,Tax,Discount,Total Amount,Status,Items Summary
"2ad70267-eb85-44e7-a0d0-a964a47b4195","100914","2026-09-24T17:03:06.336Z","dine-in","Walk-in Guest","","","card","58744","2937","0","61681","cancelled","Item (56)"
"e2d5693a-7b18-446c-a73d-a86e7e2dfcc6","100913","2026-09-24T17:00:28.633Z","dine-in","Walk-in Guest","","","upi","22166","1108","0","23274","cancelled","Item (33) | Item (1)"
"d8b562ad-901c-4112-8850-9c6a4c914b4e","100912","2026-09-24T16:37:10.878Z","dine-in","Walk-in Guest","","","upi","668","33","0","701","completed","Item (1) | Item (1) | Item (1)"
"13382f72-cb59-4611-8633-bd7e83fadf71","100911","2026-09-24T15:39:00.516Z","dine-in","Walk-in Guest","","","upi","398","20","0","418","completed","Item (2)"
"d8f0a55c-fa2e-482a-835c-7455c84e08f4","100910","2026-09-24T15:15:30.898Z","dine-in","Walk-in Guest","","","cash","746","37","0","783","completed","Item (2) | Item (1) | Item (1)"
"d739c514-b774-4adb-b36f-7834b998548e","100909","2026-09-24T15:07:39.805Z","dine-in","Walk-in Guest","","","upi","799","40","0","839","completed","Item (1)"
"73f6c77a-7f0c-4c0a-9993-d1354eb2afa9","100908","2026-09-24T15:04:56.930Z","dine-in","Walk-in Guest","","","split","716","36","179","752","completed","Item (1) | Item (1) | Item (1) | Item (1) | Item (1)"
"700200e4-dbbc-4a33-9a42-2c1854b92af9","100907","2026-09-24T15:00:49.465Z","takeaway","Walk-in Guest","","","upi","398","20","0","418","completed","Item (1) | Item (1)"
"ef5e161e-6b20-4551-b4a8-9c73005e7949","100906","2026-09-24T13:06:10.183Z","dine-in","Walk-in Guest","","","upi","449","22","0","471","completed","Item (1)"
"944b3d62-28c1-468f-9186-304187e40f10","100905","2026-09-24T12:42:32.583Z","dine-in","Walk-in Guest","","","cash","449","22","0","471","completed","Item (1)"
"c2305f49-de7f-49d7-97e6-afb321fcc702","100904","2026-09-24T11:34:28.945Z","dine-in","Walk-in Guest","","","upi","258","13","0","271","completed","Item (1) | Item (1)"
"62c33b7b-b9c8-4f88-b406-96983e1ecaa8","100903","2026-09-24T11:13:27.393Z","dine-in","Walk-in Guest","","","cash","149","7","0","156","completed","Item (1)"
"3a1fd955-9656-470d-b2ad-c08924fa64e9","100902","2026-09-24T10:56:50.545Z","dine-in","Walk-in Guest","","","upi","99","5","0","104","completed","Item (1)"
"2b8e219a-568e-4f32-b2c4-a2850816f93f","100901","2026-09-24T10:41:20.557Z","dine-in","Walk-in Guest","","","split","298","15","0","313","completed","Item (1) | Item (1)"
"bbd7ba95-fda8-4a04-be8f-3c7a1916c699","100900","2026-09-24T10:29:15.124Z","dine-in","Walk-in Guest","","","cash","280","14","0","294","completed","Item (1)"
"9a42a4e7-01c2-4fc8-8f57-c510014ccb08","100899","2026-09-24T08:07:44.577Z","dine-in","Walk-in Guest","","","cash","449","22","0","471","completed","Item (1) | Item (1) | Item (1) | Item (1)"
"62294c9e-4b88-436e-a649-53bba731f52d","100898","2026-09-23T17:53:28.717Z","dine-in","Walk-in Guest","","","upi","59","3","0","62","completed","Item (1)"
"495f41fe-8d47-4f89-aed6-abb7c5118ebc","100897","2026-09-23T17:37:47.969Z","dine-in","Walk-in Guest","","","upi","14.3","1","0","15","completed","Item (1)"
"53893662-e7a3-4af5-98d9-69d81d5a16b6","100896","2026-09-23T17:33:46.298Z","dine-in","Walk-in Guest","","","upi","449","22","0","471","completed","Item (1)"
"390f24f8-7f35-4f4e-9802-7c67686f8870","100895","2026-09-23T17:31:53.386Z","takeaway","Walk-in Guest","","","upi","120","6","0","126","completed","Item (1)"
"6340c56a-8717-4aab-a037-0e2cbfd01215","100894","2026-09-23T17:28:25.173Z","dine-in","Walk-in Guest","","","upi","240","12","0","252","completed","Item (2)"
"54d628ae-7940-4e18-aba7-e10b91456b4d","100893","2026-09-23T17:19:07.983Z","dine-in","Walk-in Guest","","","upi","349","17","0","366","completed","Item (1)"
"30217fe7-2597-45e8-965a-df5284c9e25c","100892","2026-09-23T16:15:43.439Z","dine-in","Walk-in Guest","","","cash","538","27","0","565","completed","Item (1) | Item (1) | Item (1)"
"8e16286f-0b23-4241-8da8-83459886a620","100891","2026-09-23T16:12:55.720Z","dine-in","Walk-in Guest","","","upi","28.6","1","0","30","completed","Item (2)"
"acc6b0ba-3c16-44db-9dd3-ac73dc9abe1a","100890","2026-09-23T16:02:11.741Z","dine-in","Walk-in Guest","","","upi","537","27","0","564","completed","Item (1) | Item (1) | Item (1)"
"7182273c-7ccb-4c66-b6ef-8d49fb03d9f0","100889","2026-09-23T15:54:27.859Z","dine-in","Walk-in Guest","","","upi","677","34","0","711","completed","Item (1) | Item (1) | Item (1)"
"94ee4b84-f719-45e0-a20f-55aa1a4e150b","100888","2026-09-23T15:35:56.386Z","dine-in","Walk-in Guest","","","upi","379","19","0","398","completed","Item (1)"
"55c93ba3-ab61-4b72-b82b-f4f9d735f84e","100887","2026-09-23T15:32:56.683Z","dine-in","Walk-in Guest","","","upi","400","20","0","420","completed","Item (1) | Item (1)"
"b96a34ff-5728-4bc2-8326-0e85ad62c575","100886","2026-09-23T15:30:01.988Z","dine-in","Walk-in Guest","","","upi","658","33","0","691","completed","Item (1) | Item (1)"
"1833944c-1e66-427c-89d8-8f656feebb46","100885","2026-09-23T15:18:14.599Z","dine-in","Walk-in Guest","","","upi","120","6","0","126","completed","Item (1)"
"29ad3495-362d-4cee-95c0-ae2edbcf6b73","100884","2026-09-23T15:17:22.686Z","takeaway","Walk-in Guest","","","upi","349","17","0","366","completed","Item (1)"
"d6522b4e-f2c8-4e45-ab8e-74c856589784","100883","2026-09-23T15:11:21.128Z","dine-in","Walk-in Guest","","","upi","535.6","27","0","563","completed","Item (1) | Item (1) | Item (2) | Item (1)"
"462ded2a-ab2b-4c8e-8053-8ba491a20de8","100882","2026-09-23T15:05:51.361Z","dine-in","Walk-in Guest","","","upi","349","17","0","366","completed","Item (1)"
"57c661a8-52a4-48df-9ab2-5e744c99d00e","100881","2026-09-23T14:47:24.118Z","dine-in","Walk-in Guest","","","upi","452.3","23","0","475","completed","Item (1) | Item (1) | Item (1)"
"f53840f4-a60d-4e28-88b8-13cb816494d1","100880","2026-09-23T14:33:53.862Z","dine-in","Walk-in Guest","","","upi","677","34","0","711","completed","Item (1) | Item (1) | Item (1)"
"d9e28fab-7d3a-4782-b269-db22847142ee","100879","2026-09-23T14:29:21.828Z","dine-in","Walk-in Guest","","","cash","871.3","44","0","915","completed","Item (2) | Item (2) | Item (1)"
"37863349-8f6f-4af4-a014-8147db921b33","100878","2026-09-23T14:27:18.778Z","takeaway","Walk-in Guest","","","cash","379","19","0","398","completed","Item (1)"
"dd6333fe-f66a-4e6a-8e22-cac38bdc03e5","100877","2026-09-23T14:18:20.780Z","dine-in","Walk-in Guest","","","upi","379","19","0","398","completed","Item (1)"
"29610895-3035-462c-a353-9ef333f59a05","100876","2026-09-23T14:11:02.507Z","dine-in","Walk-in Guest","","","upi","1125","56","0","1181","completed","Item (1) | Item (1) | Item (1) | Item (2)"
"c6dad698-fea6-4dca-a727-65c7f952596d","100875","2026-09-23T14:06:14.881Z","dine-in","Walk-in Guest","","","cash","460.45","23","0","483","completed","Item (1) | Item (3)"
"d31755fc-1c17-4de6-8005-10de44e812e5","100874","2026-09-23T14:03:45.258Z","dine-in","Walk-in Guest","","","cash","59","3","0","62","completed","Item (1)"
"80ca1bd9-5985-40d6-87d5-7679d35a82b5","100873","2026-09-23T14:03:19.577Z","dine-in","Walk-in Guest","","","split","704.2","35","0","739","completed","Item (1) | Item (1) | Item (4) | Item (1)"
"0211fa20-6ae2-43b7-9ef9-6de66f4bd839","100872","2026-09-23T13:53:07.876Z","dine-in","Walk-in Guest","","","cash","797","40","0","837","completed","Item (1) | Item (1) | Item (1) | Item (1)"
"d05241fc-248d-4d9d-8767-b482df3d0d60","100871","2026-09-23T13:50:20.165Z","dine-in","Walk-in Guest","","","split","589","29","0","618","completed","Item (1) | Item (1)"
"d13158d3-0cda-466e-8cf9-28e2c283b7d6","100870","2026-09-23T13:26:50.879Z","takeaway","Walk-in Guest","","","upi","498","25","0","523","completed","Item (1) | Item (1)"
"75ba3945-d9e9-4d4d-bfcc-989bbf3d9ff3","100869","2026-09-23T13:14:31.042Z","dine-in","Walk-in Guest","","","upi","199","10","0","209","completed","Item (1)"
"8ed18534-5a79-486e-95fe-dc2b1ff4b27d","100868","2026-09-23T12:51:10.019Z","dine-in","Walk-in Guest","","","upi","606.6","30","0","637","completed","Item (1) | Item (1) | Item (2)"
"67cae4e5-9b28-453d-8466-b80427a5c733","100867","2026-09-23T12:47:05.310Z","dine-in","Walk-in Guest","","","split","59","3","0","62","completed","Item (1)"
"f3c13d9d-7e22-47e4-aa40-a1a46e6fccd5","100866","2026-09-23T12:39:13.649Z","dine-in","Walk-in Guest","","","split","758","38","0","796","completed","Item (1) | Item (1)"
"31066a7f-1118-4c69-95d8-5b64a4e8bd1f","100865","2026-09-23T12:35:07.940Z","dine-in","Walk-in Guest","","","upi","59","3","0","62","completed","Item (1)"
"0eaca1b0-9ffb-4869-81be-bb9154d9f7f0","100864","2026-09-23T12:27:17.147Z","dine-in","Walk-in Guest","","","upi","363.3","18","0","381","completed","Item (1) | Item (1)"
"7cba07e3-227a-4db9-862b-06f62383d05a","100863","2026-09-23T12:23:09.660Z","dine-in","Walk-in Guest","","","upi","14.3","1","0","15","completed","Item (1)"
"7ee1ae95-a083-4b94-80c3-913545d8ce87","100862","2026-09-23T12:18:37.018Z","dine-in","Walk-in Guest","","","upi","14.3","1","0","15","completed","Item (1)"
"7b440853-cd19-4b25-838c-059771807bbb","100861","2026-09-23T12:02:38.953Z","dine-in","Walk-in Guest","","","upi","438","22","0","460","completed","Item (2) | Item (2)"
"98213180-9595-4df4-a5fd-ea66cfac890c","100860","2026-09-23T11:58:36.657Z","dine-in","Walk-in Guest","","","upi","467","23","0","490","completed","Item (1) | Item (1) | Item (1)"
"41785991-131e-48b6-9ec4-778bf5cae3d3","100859","2026-09-23T11:48:33.144Z","dine-in","Walk-in Guest","","","upi","299","15","0","314","completed","Item (1) | Item (1)"
"e7e0a228-ffb5-4520-b96d-6892ab214d99","100858","2026-09-23T11:45:19.824Z","takeaway","Walk-in Guest","","","upi","828","41","0","869","completed","Item (1) | Item (1)"
"a12319db-f21b-402f-9341-8e35345a8ba2","100857","2026-09-23T11:40:09.913Z","dine-in","Walk-in Guest","","","upi","826.6","41","0","868","completed","Item (1) | Item (1) | Item (2)"
"3930c527-24f8-41cf-b7ea-662d5e36dfb7","100856","2026-09-23T11:33:29.745Z","dine-in","Walk-in Guest","","","split","99","5","0","104","completed","Item (1)"
"6415ec40-d518-48c8-80f7-7643ce91024f","100855","2026-09-23T11:25:24.005Z","dine-in","Walk-in Guest","","","card","379","19","0","398","completed","Item (1)"
"0bd5d9b5-02f9-4dfe-99d4-b5ab0ea55387","100854","2026-09-23T11:03:17.499Z","dine-in","Walk-in Guest","","","upi","377.6","19","0","397","completed","Item (1) | Item (2)"
"a6af1a90-dc5d-4f41-ac01-41809d3efdf2","100853","2026-09-23T10:26:26.306Z","dine-in","Walk-in Guest","","","split","319","16","0","335","completed","Item (1) | Item (1)"
"da3501b9-d190-47f2-87ac-7e80a4536995","100852","2026-09-23T10:26:25.107Z","dine-in","Walk-in Guest","","","upi","349","17","0","366","completed","Item (1)"
"9fad523e-2055-4de0-b350-90c14f5e247b","100851","2026-09-23T08:02:21.883Z","dine-in","Walk-in Guest","","","upi","449","22","0","471","completed","Item (1)"
"d7eb525b-b805-4c33-93a6-97430fc7b0c6","100850","2026-09-22T17:11:57.302Z","dine-in","Walk-in Guest","","","cash","428","21","0","449","completed","Item (1) | Item (1)"
"13a44ffe-e735-4d87-85d0-56b795db3315","100849","2026-09-22T16:24:13.469Z","dine-in","Walk-in Guest","","","upi","249","12","0","261","completed","Item (1)"
"1e9a34d3-a453-4a0d-afc1-0ddc3c0afc88","100848","2026-09-22T15:51:21.296Z","dine-in","Walk-in Guest","","","upi","578","29","0","607","completed","Item (1) | Item (1) | Item (1)"
"049f361f-e8be-4186-b46f-a8a3a231add1","100847","2026-09-22T15:05:15.921Z","dine-in","Walk-in Guest","","","split","199","10","0","209","completed","Item (1)"
"ed6e35b6-726a-4bba-98dd-99f6d1a946ee","100846","2026-09-22T15:04:33.428Z","takeaway","Walk-in Guest","","","upi","416.15","21","0","437","completed","Item (1) | Item (1) | Item (1)"
"cbd72384-bcfe-4ef0-ae90-4e3b39621ab0","100845","2026-09-22T14:30:59.329Z","dine-in","Walk-in Guest","","","cash","299","15","0","314","cancelled","Item (1)"
"3a68363b-baa7-44e4-8966-0f88f63b123d","100844","2026-09-22T14:30:39.219Z","dine-in","Walk-in Guest","","","cash","299","15","0","314","completed","Lebanese Rice Box (Chicken) (1)"
"3e4d3d62-4426-4ba4-8fd3-463cf65065f9","100843","2026-09-22T14:16:49.110Z","dine-in","Walk-in Guest","","","upi","149","7","0","156","completed","Item (1)"
"5b421d15-8e01-4d8b-ba93-f38c93f2451c","100842","2026-09-22T14:15:03.396Z","dine-in","Walk-in Guest","","","upi","567","28","0","595","completed","Item (1) | Item (1) | Item (1) | Item (1) | Item (1)"
"ed6281e1-48b1-43dd-8409-8d7d484f0056","100841","2026-09-22T14:07:05.902Z","dine-in","Walk-in Guest","","","upi","28.6","1","0","30","completed","Item (2)"
"5b3bd354-5c54-4430-95be-b52902f8d6e4","100840","2026-09-22T14:04:20.265Z","dine-in","Walk-in Guest","","","upi","538","27","0","565","completed","Item (1) | Item (1) | Item (1)"
"6eaea172-6029-49ab-a85d-5bb54dced85c","100839","2026-09-22T13:34:00.705Z","takeaway","Walk-in Guest","","","upi","280","14","0","294","completed","Item (1)"
"86439312-c58a-4a65-ac92-dbec62a281ef","100838","2026-09-22T13:30:37.886Z","takeaway","Walk-in Guest","","","upi","459","23","0","482","completed","Item (1) | Item (1) | Item (1)"
"8a043917-1f0b-40fe-a059-4bb6062ab498","100837","2026-09-22T13:22:49.172Z","dine-in","Walk-in Guest","","","upi","497","25","0","522","completed","Item (2) | Item (1)"
"fea5abe2-a556-4d38-86e8-1a8499257c13","100836","2026-09-22T13:02:12.820Z","dine-in","Walk-in Guest","","","upi","447","22","0","469","completed","Item (1) | Item (2)"
"8f21e7fe-0455-4e85-82b2-39536aaba304","100835","2026-09-22T12:34:23.346Z","dine-in","Walk-in Guest","","","upi","74.3","4","0","78","completed","Item (2)"
"941ba427-58ca-4c7d-b5cf-d1f12c948e6b","100834","2026-09-22T12:18:37.553Z","takeaway","Walk-in Guest","","","upi","199","10","0","209","completed","Item (1)"
"a2e2be52-e8ec-4926-8586-01c6cf1a84d2","100833","2026-09-22T12:05:12.865Z","dine-in","Walk-in Guest","","","cash","560","28","0","588","completed","Item (1)"
"b68666e2-0e2c-4a7b-8bc8-20874ad0522d","100832","2026-09-22T11:06:32.488Z","dine-in","Walk-in Guest","","","upi","349","17","0","366","completed","Item (1)"
"adcad2a7-ea86-4a39-9a50-4f21f7f3adb0","100831","2026-09-22T08:05:54.934Z","dine-in","Walk-in Guest","","","cash","59","3","0","62","completed","Item (1)"
"0ef77300-caf7-4a60-8fcd-53bc190482fd","100830","2026-09-22T06:54:01.553Z","dine-in","Walk-in Guest","","","upi","269","13","0","282","completed","Item (1) | Item (1)"
"2df4e01a-4b1a-4497-8f49-d7b132b8c59f","100829","2026-09-22T06:42:05.745Z","dine-in","Walk-in Guest","","","upi","295","15","0","310","completed","Item (5)"
"7b0f4342-b2ca-4427-a3c8-3e0bd78cd5b6","100828","2026-09-22T06:33:56.183Z","dine-in","Walk-in Guest","","","upi","118","6","0","124","completed","Item (2)"
"2e430538-2408-48f9-a9d8-64ee42572ddf","100827","2026-09-21T16:59:08.452Z","dine-in","Walk-in Guest","","","upi","579","29","0","608","completed","Item (1) | Item (1) | Item (1)"
"26518103-d4e1-4d5f-a71b-4dacc3fe1ae7","100826","2026-09-21T16:58:05.683Z","takeaway","Walk-in Guest","","","upi","520","26","0","546","completed","Item (1) | Item (1)"
"1512aa87-df0c-4474-824f-6438ef177fc2","100825","2026-09-21T16:53:22.626Z","dine-in","Walk-in Guest","","","cash","114","6","0","120","completed","Item (1)"
"3a7c6e97-1e32-4f4c-8ce2-e68820bbcbe0","100824","2026-09-21T16:14:22.344Z","dine-in","Walk-in Guest","","","upi","718","36","0","754","completed","Item (1) | Item (1) | Item (1)"
"05b8ad0c-d3cb-46fb-8de1-100826ebfcad","100823","2026-09-21T16:11:31.695Z","dine-in","Walk-in Guest","","","cash","838","42","0","880","completed","Item (1) | Item (2) | Item (1)"
"501f8709-3d43-46a8-8457-9eee88c14662","100822","2026-09-21T15:22:57.981Z","dine-in","Walk-in Guest","","","cash","559","28","0","587","completed","Item (1) | Item (1) | Item (1)"
"8dc3c6b3-7c64-48f2-b71b-5795abcba5bf","100821","2026-09-21T14:48:15.946Z","dine-in","Walk-in Guest","","","upi","400","20","100","420","completed","Item (2) | Item (1) | Item (1)"
"cc50a110-658e-4a62-8e3f-d370177e3886","100820","2026-09-21T14:06:07.607Z","dine-in","Walk-in Guest","","","upi","349","17","0","366","completed","Item (1)"
"c4854aa7-5fc8-4653-839b-b699f1cea82b","100819","2026-09-21T13:47:49.562Z","dine-in","Walk-in Guest","","","upi","90","5","0","95","completed","Item (1)"
"02c1716c-8e65-49b6-ba98-c8c177eeca52","100818","2026-09-21T13:44:24.732Z","dine-in","Walk-in Guest","","","upi","120","6","0","126","completed","Item (1)"
"16f7ab82-ca4d-4f1c-8d91-52f3ecf2314c","100817","2026-09-21T13:42:17.136Z","dine-in","Walk-in Guest","","","upi","969","48","0","1017","completed","Item (1) | Item (1) | Item (1)"
"0882ae02-f656-486a-a8af-378ee916515f","100816","2026-09-21T12:42:36.980Z","dine-in","Walk-in Guest","","","split","99","5","0","104","completed","Item (1)"
"0e470a63-9abd-4dd5-a685-bb0f9ae58aeb","100815","2026-09-21T12:40:21.380Z","dine-in","Walk-in Guest","","","cash","469","23","0","492","completed","Item (1) | Item (1)"
"d4e01245-5287-4736-8a2d-5d8b7700b311","100814","2026-09-21T12:31:59.330Z","dine-in","Walk-in Guest","","","upi","120","6","0","126","completed","Item (1)"
"1f3d912b-3c38-422b-aef7-61065f490cde","100813","2026-09-21T12:31:03.759Z","dine-in","Walk-in Guest","","","upi","479","24","0","503","completed","Item (1) | Item (1)"
"238bcd54-adce-42dd-8ef4-b672cbdd7f02","100812","2026-09-21T12:23:35.622Z","dine-in","Walk-in Guest","","","upi","398","20","0","418","completed","Item (1) | Item (1)"
"c279b101-82ad-4f38-90c7-c35816239916","100811","2026-09-21T12:00:08.757Z","dine-in","Walk-in Guest","","","upi","149","7","0","156","completed","Item (1)"
"3e6ee914-c65d-4b29-a287-1d2dca36d662","100810","2026-09-21T11:57:16.973Z","dine-in","Walk-in Guest","","","upi","120","6","0","126","completed","Item (1)"
"dcbcadc9-2c2e-4fd0-8763-57faf402ce7a","100809","2026-09-21T11:18:08.052Z","dine-in","Walk-in Guest","","","cash","480.45","24","0","504","completed","Item (1) | Item (1) | Item (3)"
"96841d45-f453-4fcd-8c52-709c7e81ce04","100808","2026-09-21T08:04:33.291Z","dine-in","Walk-in Guest","","","upi","509","25","0","534","completed","Item (1) | Item (1) | Item (1)"
"25f16dbf-978a-49b9-a808-7dad7158e582","100807","2026-09-21T07:47:09.698Z","dine-in","Walk-in Guest","","","upi","219","11","0","230","completed","Item (1) | Item (1)"
"24ee8e6b-4dba-4547-b70d-9c61c9c15f1d","100806","2026-09-21T06:26:54.426Z","dine-in","Walk-in Guest","","","upi","490","25","0","515","completed","Item (1) | Item (1) | Item (1)"
"49b43c51-cc87-412f-aa93-0b8dd6da5aaa","100805","2026-09-21T05:43:38.686Z","dine-in","Walk-in Guest","","","upi","118","6","0","124","completed","Item (2)"
"8d4309b0-dd2e-442f-a12a-2fc71da22778","100804","2026-09-21T03:40:07.945Z","dine-in","Walk-in Guest","","","complimentary","0","0","1661.75","0","completed","Item (1) | Item (1) | Item (1) | Item (1) | Item (1) | Item (2) | Item (2) | Item (1) | Item (1) | Item (2) | Item (5)"
"62af73e3-5061-4d75-ad8c-9d1d92bad55f","100803","2026-09-20T16:55:38.119Z","dine-in","Walk-in Guest","","","split","99","5","0","104","completed","Item (1)"
"b32de1f1-28d0-4de4-8740-788be3c8d387","100802","2026-09-20T16:44:11.123Z","dine-in","Walk-in Guest","","","upi","310","16","0","326","completed","Item (1) | Item (1)"
"125005ed-9286-45ce-b9d4-f968b28912b9","100801","2026-09-20T16:26:32.252Z","dine-in","Walk-in Guest","","","cash","189","9","0","198","completed","Item (1) | Item (1)"
"4294b797-9082-4b09-9aed-a1a5ce92c1b7","100800","2026-09-20T16:23:53.358Z","dine-in","Walk-in Guest","","","cash","199","10","0","209","completed","Item (1)"
"04a14307-1891-4bc5-83a4-ab850fbc25e7","100799","2026-09-20T16:09:36.213Z","dine-in","Walk-in Guest","","","split","398","20","0","418","completed","Item (1) | Item (1)"
"af4d713f-265c-401d-bdb0-ee7c91f0da38","100798","2026-09-20T15:54:16.041Z","dine-in","Walk-in Guest","","","upi","519","26","0","545","completed","Item (1) | Item (1)"
"4903d265-8f6e-43eb-9a23-b6efa12ce9f8","100797","2026-09-20T15:39:31.053Z","dine-in","Walk-in Guest","","","split","686","34","0","720","completed","Item (1) | Item (1) | Item (1) | Item (1) | Item (1)"
"37bb9976-5bf4-486f-805b-06d71dfefdea","100796","2026-09-20T15:32:37.354Z","dine-in","Walk-in Guest","","","upi","998","50","0","1048","completed","Item (1) | Item (1)"
"5e0ef82f-9539-4510-8f94-0d4329e5cd79","100795","2026-09-20T15:06:48.730Z","dine-in","Walk-in Guest","","","split","398","20","0","418","completed","Item (1) | Item (1)"
"19d959b4-4e60-4ed4-9f25-b8a067fa090b","100794","2026-09-20T14:11:57.196Z","dine-in","Walk-in Guest","","","split","289","14","0","303","completed","Item (1) | Item (1)"
"cf7c9c77-7a6b-495b-afbf-60eb30708a04","100793","2026-09-20T14:07:05.151Z","dine-in","Walk-in Guest","","","card","699","35","0","734","completed","Item (1)"
"45961495-c598-4013-abea-828a35864e3b","100792","2026-09-20T13:39:28.553Z","dine-in","Walk-in Guest","","","upi","199","10","0","209","completed","Item (1)"
"8c199e70-a0bb-44ca-8c6f-fe5f976a9f2e","100791","2026-09-20T13:35:27.548Z","dine-in","Walk-in Guest","","","upi","379","19","0","398","completed","Item (1) | Item (1)"
"944f2241-aee7-4bdd-a65e-8f206b90fc2d","100790","2026-09-20T13:33:03.662Z","dine-in","Walk-in Guest","","","upi","59","3","0","62","completed","Item (1)"
"7be8f461-f04f-4857-8135-852de8d4786b","100789","2026-09-20T13:31:48.823Z","dine-in","Walk-in Guest","","","upi","448","22","0","470","completed","Item (1) | Item (1)"
"98b46065-e532-4a3a-a668-258f279e5021","100788","2026-09-20T13:05:42.761Z","dine-in","Walk-in Guest","","","upi","624.75","31","0","656","completed","Item (1) | Item (2) | Item (5)"
"af96b018-1ba2-4149-b389-827ad92d6538","100787","2026-09-20T12:59:29.672Z","dine-in","Walk-in Guest","","","upi","518","26","0","544","completed","Item (1) | Item (1) | Item (1) | Item (1)"
"48542c6d-ecd6-4f27-a0f9-526f01721e9a","100786","2026-09-20T12:48:31.751Z","dine-in","Walk-in Guest","","","upi","289","14","0","303","completed","Item (1) | Item (1)"
